Name,Address,City,State,Postal Code,Phone,Latitude,Longitude,Distance,Brand
Coddle Market Dr Nw,310 Coddle Market Dr Nw,Concord,NC,28027,9804322320,35.40929,-80.66371,95.70465209,7-eleven
Concord Pkwy S,3710 Concord Pkwy S,Concord,NC,28027,7047921072,35.37006,-80.66641,96.59028846,7-eleven
North Highway 125,303 North Highway 125,Oak City,NC,27857,2527987931,35.9651,-77.304,97.30256076,speedway
Poplar Tent Rd,6886 Poplar Tent Rd,Concord,NC,28027,7047861570,35.40308,-80.6934,97.43408701,7-eleven
Albemarle Road,13354 Albemarle Road,Mint Hill,NC,28227,7045730557,35.22283,-80.62846,97.98298766,speedway
Nc Hwy 33 East,5068 Nc Hwy 33 East,Greenville,NC,27858,2527583451,35.58374,-77.28712,98.19603637,speedway
Bruton Smith Blvd,7740 Bruton Smith Blvd,Concord,NC,28027,7047856756,35.3656,-80.71032,99.0549706,7-eleven
W. Academy St.,109 W. Academy St.,Robersonville,NC,27871,2527954346,35.82501,-77.25542,99.18136543,speedway
E Jefferson St.,213 E Jefferson St.,Jackson,NC,27845,2525344561,36.38919,-77.41491,99.74175735,speedway
N Tryon St,11550 N Tryon St,Charlotte,NC,28262,7047136869,35.33542,-80.71296,99.80476401,7-eleven
Wilgrove Mint Hill,4300 Wilgrove Mint Hill,Charlotte,NC,28227,7045731919,35.18084,-80.64737,100.1110644,7-eleven
Pavilion Blvd,1901 Pavilion Blvd,Charlotte,NC,28262,7045477440,35.31225,-80.71196,100.2437735,7-eleven
University City Blvd,9608 University City Blvd,Charlotte,NC,28213,7045480505,35.30662,-80.72212,100.9112761,7-eleven
Ellenwood Rd,11065 Ellenwood Rd,Concord,NC,28027,7047960066,35.40125,-80.76112,101.1609634,7-eleven
N Tryon St,10023 N Tryon St,Charlotte,NC,28262,7047902590,35.32204,-80.73407,101.2212148,7-eleven
Richlands Highway,8801 Richlands Highway,Richlands,NC,28574,9103242575,34.90269,-77.55442,101.6756542,speedway
Idlewild Rd,15000 Idlewild Rd,Stallings,NC,28104,7048935086,35.12427,-80.65324,102.0560111,7-eleven
Rockford Street,1012 Rockford Street,Mount Airy,NC,27030,3367865868,36.48645,-80.61219,102.2281631,speedway
Old Concord Rd,8101 Old Concord Rd,Charlotte,NC,28213,7045965195,35.27869,-80.73643,102.3019247,7-eleven
Rocky Branch Rd,2941 Rocky Branch Rd,Hamptonville,NC,27020,3364681387,36.11824,-80.79529,102.599607,7-eleven
Richlands Hwy.,7401 Richlands Hwy.,Richlands,NC,28574,9103249263,34.8859,-77.549,102.6070382,speedway
Salisbury Hwy,1505 Salisbury Hwy,Statesville,NC,28625,9804344557,35.76998,-80.85558,103.1834492,7-eleven
Mallard Creek Rd,9025 Mallard Creek Rd,Charlotte,NC,28262,7045109515,35.3272,-80.77359,103.2426676,7-eleven
W Pine St,850 W Pine St,Mount Airy,NC,27030,3367862057,36.49989,-80.62559,103.3299902,speedway
Unionville Indian Trl,304 Unionville Indian Trl,Indian Trail,NC,28079,7048828920,35.07592,-80.65106,103.4450448,7-eleven
W Memorial Hwy,1460 W Memorial Hwy,Union Grove,NC,28689,7045394091,36.00933,-80.83823,103.4951124,7-eleven
Turnersburg Hwy,849 Turnersburg Hwy,Statesville,NC,28625,7048763258,35.84758,-80.86158,103.6455196,7-eleven
N Tryon St,6500 N Tryon St,Charlotte,NC,28213,7045094261,35.27672,-80.76581,103.9143866,7-eleven
East Atkins St.,912 East Atkins St.,Dobson,NC,27017,3363742235,36.39158,-80.70714,104.0343713,speedway
Albemarle Rd,6233 Albemarle Rd,Charlotte,NC,28212,9804751724,35.20338,-80.73915,104.2847139,7-eleven
Turnersburg Hwy,234 Turnersburg Hwy,Statesville,NC,28625,9808921902,35.81528,-80.87627,104.3845753,7-eleven
E Independence Blvd,11208 E Independence Blvd,Matthews,NC,28105,7047089212,35.11807,-80.69817,104.5344793,7-eleven
River Highway,571 River Highway,Mooresville,NC,28117,7046636737,35.59473,-80.87045,104.7486866,speedway
Windsor Square Dr,1700 Windsor Square Dr,Matthews,NC,28105,7047088597,35.13326,-80.71119,104.7564861,7-eleven
Ramah Church Rd,11410 Ramah Church Rd,Huntersville,NC,28078,7046063903,35.42051,-80.8422,105.2802013,7-eleven
W Sugar Creek Rd,1120 W Sugar Creek Rd,Charlotte,NC,28213,7045983081,35.27611,-80.79303,105.3824882,7-eleven
Eastway Dr,936 Eastway Dr,Charlotte,NC,28205,7043345865,35.24313,-80.78067,105.4865176,7-eleven
Sam Roper Dr,12007 Sam Roper Dr,Charlotte,NC,28269,7048750935,35.36991,-80.83319,105.6494585,7-eleven
Connection Pt Blvd,4036 Connection Pt Blvd,Charlotte,NC,28212,7045170890,35.18453,-80.75981,105.8592966,7-eleven
Old Statesville Rd,8325 Old Statesville Rd,Charlotte,NC,28269,9804709261,35.33614,-80.82554,105.8714447,7-eleven
N Graham St,4800 N Graham St,Charlotte,NC,28269,7046500011,35.27936,-80.8061,106.0094716,7-eleven
Eastway Dr,2840 Eastway Dr,Charlotte,NC,28205,7045375551,35.21757,-80.78098,106.1252152,7-eleven
Sam Furr Rd,9701 Sam Furr Rd,Huntersville,NC,28078,7048925779,35.44255,-80.86393,106.1365235,7-eleven
Nc Hwy 67,1648 Nc Hwy 67,Jonesville,NC,28642,3368353502,36.23901,-80.82023,106.1728943,speedway
N Tryon St,3737 N Tryon St,Charlotte,NC,28206,9808508362,35.25514,-80.80155,106.3145406,7-eleven
Monroe Rd,5343 Monroe Rd,Charlotte,NC,28205,7045353497,35.18999,-80.77266,106.3889781,7-eleven
E Independence Blvd,3750 E Independence Blvd,Charlotte,NC,28205,9803553285,35.20072,-80.77793,106.3890396,7-eleven
Reames Rd,10700 Reames Rd,Charlotte,NC,28269,7045966117,35.34575,-80.83919,106.4255225,7-eleven
Rosedale Hill Ave,12906 Rosedale Hill Ave,Huntersville,NC,28078,7049473722,35.40857,-80.86061,106.4827836,7-eleven
Central Ave,3024 Central Ave,Charlotte,NC,28205,7045357508,35.21727,-80.79357,106.7973106,7-eleven
The Plaza,2701 The Plaza,Charlotte,NC,28205,7043703544,35.23688,-80.80307,106.8242445,7-eleven
Old Statesville Rd,6401 Old Statesville Rd,Charlotte,NC,28269,7045990320,35.31084,-80.83833,107.0705648,7-eleven
W Catawba Ave,19128 W Catawba Ave,Cornelius,NC,28031,7048955250,35.47476,-80.89097,107.1772039,7-eleven
Cc Camp Road,626 Cc Camp Road,Elkin,NC,28621,3363663566,36.27955,-80.82556,107.3329749,speedway
Central Ave,1920 Central Ave,Charlotte,NC,28205,9804515818,35.21976,-80.80708,107.4501382,7-eleven
Monroe Rd,3301 Monroe Rd,Charlotte,NC,28205,9802980802,35.20325,-80.7995,107.4598344,7-eleven
Northlake West Dr,9220 Northlake West Dr,Charlotte,NC,28216,6626075556,35.34659,-80.8586,107.4635256,7-eleven
Statesville Rd,4255 Statesville Rd,Charlotte,NC,28269,7043597132,35.27798,-80.835,107.5881696,7-eleven
N Wendover Rd,801 N Wendover Rd,Charlotte,NC,28211-0000,7043642005,35.19038,-80.79815,107.7161873,7-eleven
Mt Holly Huntersvill,9502 Mt Holly Huntersvill,Charlotte,NC,28216,9808663587,35.3573,-80.86869,107.8128137,7-eleven
Old Providence Rd,5701 Old Providence Rd,Charlotte,NC,28226,7043667594,35.13589,-80.78335,108.4047142,7-eleven
Beatties Ford Rd,2519 Beatties Ford Rd,Charlotte,NC,28216,7043936526,35.26881,-80.85452,108.8355966,7-eleven
W 5Th St,2532 W 5Th St,Washington,NC,27889,2529742365,35.58575,-77.0953,108.8955897,speedway
Nc Hwy 43,370 Nc Hwy 43,Vanceboro,NC,28586,2522440175,35.31158,-77.15975,109.2435172,speedway
A W Trade St,718 A W Trade St,Charlotte,NC,28202,9808591290,35.23321,-80.8495,109.3777637,7-eleven
W Mlk Jr Blvd,255 W Mlk Jr Blvd,Charlotte,NC,28202,7043729340,35.22616,-80.84807,109.4682492,7-eleven
West Blvd,305 West Blvd,Williamston,NC,27892,2527928418,35.8411,-77.07158,109.5381083,speedway
Us Highway 17 S.,2901 Us Highway 17 S.,Chocowinity,NC,27817,2529407234,35.51897,-77.09198,109.7270383,speedway
Providence Rd,10806 Providence Rd,Charlotte,NC,28277,7048410657,35.06286,-80.77106,109.9141368,7-eleven
Brookshire Blvd,4808 Brookshire Blvd,Charlotte,NC,28216,7043942501,35.27377,-80.88504,110.3645717,7-eleven
Washington Street,304 Washington Street,Williamston,NC,27892,2527925344,35.84955,-77.05625,110.4233247,speedway
Freedom Dr,1824 Freedom Dr,Charlotte,NC,28208,7043350218,35.2316,-80.87096,110.5572724,7-eleven
Richlands Rd.,3462 Richlands Rd.,Jacksonville,NC,28540,9103461175,34.76279,-77.48616,110.6173554,speedway
East Blvd,605 East Blvd,Williamston,NC,27892,2527922696,35.84605,-77.05082,110.7169611,speedway
E Boulevard,800 E Boulevard,Williamston,NC,27892,2527926612,35.84912,-77.04998,110.7735363,speedway
Brookshire Blvd,5455 Brookshire Blvd,Charlotte,NC,28216,9809508876,35.27813,-80.89454,110.7817442,7-eleven
West 15Th Street,1308 West 15Th Street,Washington,NC,27889,2529469298,35.56304,-77.06272,110.9131929,speedway
South Blvd,2601 South Blvd,Charlotte,NC,28209,7045238304,35.20201,-80.86507,110.9517852,7-eleven
Park Rd,4401 Park Rd,Charlotte,NC,28209,7046769971,35.17191,-80.85088,110.9601888,7-eleven
Western Blvd.,6995 Western Blvd.,Jacksonville,NC,28546,9103464729,34.79888,-77.43824,111.2386615,speedway
Burgaw Hwy,1495 Burgaw Hwy,Jacksonville,NC,28540,9103467744,34.74602,-77.48356,111.4605428,speedway
West 15Th Street,600 West 15Th Street,Washington,NC,27889,2529460786,35.55897,-77.0532,111.4820454,speedway
Us Hwy 117 South,8221 Us Hwy 117 South,Rocky Point,NC,28457,9106023068,34.43906,-77.88034,111.5799456,speedway
Wilkinson Blvd,3000 Wilkinson Blvd,Charlotte,NC,28208,9802401342,35.22448,-80.89034,111.7549568,7-eleven
Piper Station Dr,5200 Piper Station Dr,Charlotte,NC,28277,7047905536,35.06123,-80.81267,112.0801693,7-eleven
Clanton Rd,835 Clanton Rd,Charlotte,NC,28217,7045238102,35.19865,-80.88572,112.1265112,7-eleven
New Town Rd,8313 New Town Rd,Waxhaw,NC,28173,7042909445,34.98865,-80.77291,112.3756283,7-eleven
Tyvola Rd,838 Tyvola Rd,Charlotte,NC,28217,7046764695,35.165,-80.8813,112.7355886,7-eleven
John Small Ave,1345 John Small Ave,Washington,NC,27889,2529754607,35.54549,-77.03111,112.8424795,speedway
Business 16 Hwy,2821 Business 16 Hwy,Denver,NC,28037,7046095129,35.51752,-81.00456,112.9670396,7-eleven
Pineville-Matthews,7511 Pineville-Matthews,Charlotte,NC,28226,7045411272,35.08718,-80.84628,113.0358137,7-eleven
Atwater Ln,408 Atwater Ln,Denver,NC,28037,7045304037,35.44943,-80.99457,113.2492718,7-eleven
Old Dowd Rd,5115 Old Dowd Rd,Charlotte,NC,28208,7043952919,35.22996,-80.92529,113.4912868,7-eleven
Little Rock Rd,2415 Little Rock Rd,Charlotte,NC,28214,9804519636,35.24606,-80.93629,113.7180743,7-eleven
S Tryon St,5615 S Tryon St,Charlotte,NC,28217,7046201243,35.17006,-80.90335,113.7668216,7-eleven
South Blvd,8641 South Blvd,Charlotte,NC,28273,7045546335,35.11977,-80.88043,113.8879977,7-eleven
Nations Ford Rd,8925 Nations Ford Rd,Charlotte,NC,28217,7045215294,35.13599,-80.89148,114.0270307,7-eleven
Little Rock Rd,2825 Little Rock Rd,Charlotte,NC,28214,7043951674,35.23761,-80.93937,114.070864,7-eleven
New Bridge St.,830 New Bridge St.,Jacksonville,NC,28540,9103476688,34.74898,-77.42026,114.145334,speedway
Western Blvd.,454 Western Blvd.,Jacksonville,NC,28546,9103462508,34.77464,-77.38867,114.4961972,speedway
Yorkmont Rd,2901 Yorkmont Rd,Charlotte,NC,28208,7043570701,35.18986,-80.92997,114.6834283,7-eleven
S Polk St,105 S Polk St,Pineville,NC,28134,7048891750,35.08474,-80.88628,115.1673774,7-eleven
Mount Holly Rd,11112 Mount Holly Rd,Charlotte,NC,28214,7046174223,35.30093,-80.98744,115.3319729,7-eleven
S Tryon St,8010 S Tryon St,Charlotte,NC,28273,7045887957,35.14508,-80.92872,115.7389981,7-eleven
Washington Post Road,370 Washington Post Road,New Bern,NC,28560,2526385988,35.14783,-77.10677,115.8313789,speedway
Westinghouse Blvd,735 Westinghouse Blvd,Charlotte,NC,28273,7045881669,35.11523,-80.92602,116.3853865,7-eleven
Dr M L King Jr Blvd,4100 Dr M L King Jr Blvd,New Bern,NC,28562,2526384668,35.09548,-77.11948,116.5656413,speedway
Steele Creek Rd,8315 Steele Creek Rd,Charlotte,NC,28217,7047127469,35.17197,-80.95974,116.6957995,7-eleven
S Tryon St,9501 S Tryon St,Charlotte,NC,28273,7045877416,35.12918,-80.94145,116.8207128,7-eleven
West Main St.,501 West Main St.,Murfreesboro,NC,27855,2523985164,36.44208,-77.10765,116.8544253,speedway
Neuse Blvd,3314 Neuse Blvd,New Bern,NC,28560,2526333340,35.13112,-77.09213,117.0328124,speedway
S Glenburnie Rd,1915 S Glenburnie Rd,New Bern,NC,28562,2526373305,35.10294,-77.09904,117.4233511,speedway
E Main St.,604 E Main St.,Murfreesboro,NC,27855,2523984037,36.44223,-77.09413,117.5512651,speedway
E Water Street,105 E Water Street,Windsor,NC,27983,2527945280,35.99344,-76.94343,117.5902141,speedway
Main St. West,520 Main St. West,Ahoskie,NC,27910,2523327552,36.28816,-76.99037,119.3348691,speedway
East Memorial Drive,1000 East Memorial Drive,Ahoskie,NC,27910,2523324212,36.27585,-76.97876,119.7075733,speedway
S Tryon St,12710 S Tryon St,Charlotte,NC,28273,7046209937,35.10506,-80.98548,119.7616582,7-eleven
N Oxford St,3137 N Oxford St,Claremont,NC,28610,8284592758,35.72115,-81.15735,120.2027367,7-eleven
Us Highway 17 North,400 Us Highway 17 North,Holly Ridge,NC,28445,9103291554,34.49864,-77.54909,120.3664701,speedway
New Pointe Blvd,1133 New Pointe Blvd,Leland,NC,28451,9109706092,34.21364,-78.02168,120.6640254,7-eleven
D St,525 D St,Bridgeton,NC,28519,2526349133,35.12174,-77.01978,121.0730556,speedway
Us Hwy 17 North,14477 Us Hwy 17 North,Hampstead,NC,28443,9102700844,34.36528,-77.71386,121.296047,speedway
Second Street,701 Second Street,North Wilkesboro,NC,28659,3368183062,36.17031,-81.14058,122.2205818,speedway
Nc Hwy 172,1974 Nc Hwy 172,Sneads Ferry,NC,28460,9103272766,34.54953,-77.43338,122.5548262,speedway
2Nd St.,1602 2Nd St.,North Wilkesboro,NC,28659,3368381971,36.17772,-81.14518,122.5851035,speedway
Market St,4615 Market St,Wilmington,NC,28405,9104650306,34.24365,-77.88755,122.6411835,7-eleven
Market St,7413 Market St,Wilmington,NC,28411,9106861865,34.27819,-77.81436,122.8706014,speedway
Gordon Rd,6769 Gordon Rd,Wilmington,NC,28411,9103500549,34.26399,-77.83151,123.1538252,speedway
E. Franklin Blvd.,3590 E. Franklin Blvd.,Gastonia,NC,28056,7048230744,35.25845,-81.11688,123.1820401,speedway
Carolina Beach Road,2395 Carolina Beach Road,Wilmington,NC,28401,9107631258,34.19532,-77.93579,124.1233079,speedway
E Garrison Blvd,1929 E Garrison Blvd,Gastonia,NC,28054,7048983065,35.2533,-81.14776,124.9561019,7-eleven
E Franklin Blvd,1600 E Franklin Blvd,Gastonia,NC,28054,9802514596,35.26237,-81.15217,125.0154672,7-eleven
W Us Highway 421,1844 W Us Highway 421,Wilkesboro,NC,28697,3366678621,36.15055,-81.19866,125.1036922,speedway
Oleander Drive,5701 Oleander Drive,Wilmington,NC,28403,9107911199,34.20926,-77.85038,125.7728144,speedway
W Trade St,706 W Trade St,Dallas,NC,28034,7048306845,35.3168,-81.18468,125.7762308,7-eleven
Us Highway 64 W,2025 Us Highway 64 W,Plymouth,NC,27962,2527934425,35.83504,-76.76542,126.7002771,speedway
Neal Hawkins Rd,1750 Neal Hawkins Rd,Gastonia,NC,28056,9804215880,35.21579,-81.16758,126.7964797,7-eleven
York Road,2907 York Road,Gastonia,NC,28052,7048672840,35.22576,-81.19971,128.3221152,speedway
Us Hwy 64 East,630 Us Hwy 64 East,Plymouth,NC,27962,2527932806,35.86162,-76.73484,128.4822877,speedway
N. Main Street,306 N. Main Street,Sparta,NC,28675,3363728787,36.50843,-81.12472,128.5746922,speedway
Us Highway 70 Se,1835 Us Highway 70 Se,Hickory,NC,28602,8283244222,35.70767,-81.30679,128.6333733,speedway
W Franklin Blvd,2209 W Franklin Blvd,Gastonia,NC,28052,7047477506,35.25882,-81.22245,128.8975234,7-eleven
Us Highway 64 East,1109 Us Highway 64 East,Plymouth,NC,27962,2527934313,35.86525,-76.72757,128.9008997,speedway
W. Franklin Blvd.,2500 W. Franklin Blvd.,Gastonia,NC,28052,7048548328,35.26005,-81.22495,129.0097269,speedway
West Corbett Avenue,809 West Corbett Avenue,Swansboro,NC,28584,9103250078,34.697,-77.1397,129.1078189,speedway
Nc Highway 55 East,10816 Nc Highway 55 East,Grantsboro,NC,28529,2527455313,35.1403,-76.8418,130.0401573,speedway
Carolina Beach Rd.,6234 Carolina Beach Rd.,Wilmington,NC,28412,9107918077,34.11166,-77.90117,130.1260808,speedway
Highway 70 Sw,1269 Highway 70 Sw,Hickory,NC,28602,8282610492,35.7219,-81.36283,131.7474342,speedway
S Nc Highway 127,3131 S Nc Highway 127,Hickory,NC,28602,8282943717,35.68554,-81.37317,132.43143,speedway
Crew Drive,9027 Crew Drive,Emerald Isle,NC,28594,2523549770,34.66108,-77.05916,134.2849356,speedway
E Main St.,334 E Main St.,Havelock,NC,28532,2524473361,34.87193,-76.90238,134.3558494,speedway
West Main St.,835 West Main St.,Belhaven,NC,27810,2529432483,35.5477,-76.6329,135.0691842,speedway
Us Highway 264 Byp,550 Us Highway 264 Byp,Belhaven,NC,27810,2529440300,35.5497,-76.6295,135.2428803,speedway
Hickory Blvd.,3950 Hickory Blvd.,Granite Falls,NC,28630,8283131062,35.81126,-81.43133,135.5428407,speedway
Hwy. 24,4275 Hwy. 24,Newport,NC,28570,2523932982,34.7114,-76.9915,135.5533438,speedway
Virginia Road,301 Virginia Road,Edenton,NC,27932,2524825498,36.07226,-76.61228,136.7033331,speedway
Hwy 70 E,6655 Hwy 70 E,Newport,NC,28570,2522232103,34.77684,-76.87233,139.0064264,speedway
Wilkesboro Blvd. Se,502 Wilkesboro Blvd. Se,Lenoir,NC,28645,8287546851,35.91606,-81.51589,140.5683365,speedway
E Marion St,1698 E Marion St,Shelby,NC,28150,7044822458,35.28369,-81.49215,143.17841,7-eleven
E. Second Street,326 E. Second Street,West Jefferson,NC,28694,3362467967,36.40415,-81.49035,145.2576698,speedway
S Church St.,800 S Church St.,Hertford,NC,27944,2524261019,36.17891,-76.46254,146.181051,speedway
S.Sterling St.,2205 S.Sterling St.,Morganton,NC,28655,8284338556,35.72396,-81.65784,148.3208033,speedway
Arendell St.,400 Arendell St.,Morehead City,NC,28557,2527263419,34.72099,-76.70696,149.0898123,speedway
Valley Road,7206 Valley Road,Blowing Rock,NC,28605,8282957534,36.14196,-81.66892,150.8538684,speedway
Old E. King St.,159 Old E. King St.,Boone,NC,28607,8282625819,36.21949,-81.65647,151.1259306,speedway
West Union St.,900 West Union St.,Morganton,NC,28655,8284336903,35.73571,-81.7098,151.2185772,speedway
E King St,1033 E King St,Boone,NC,28607,8282642285,36.2193,-81.65875,151.2482592,speedway
Blowing Rock Road,1256 Blowing Rock Road,Boone,NC,28607,8282621135,36.20343,-81.66604,151.437336,speedway
Live Oak St,1800 Live Oak St,Beaufort,NC,28516,2527282513,34.73169,-76.63748,152.1954196,speedway
Highway 105,2702 Highway 105,Boone,NC,28607,8282641454,36.20666,-81.69846,153.2585016,speedway
Us Hwy 64 E,883 Us Hwy 64 E,Columbia,NC,27925,2527964187,35.91914,-76.23699,156.5763265,speedway
Patrick Way,3800 Patrick Way,Elizabeth City,NC,27909,2523312622,36.29346,-76.28996,157.2237171,7-eleven
Nc Hwy 105 South,10656 Nc Hwy 105 South,Banner Elk,NC,28604,8289632845,36.14674,-81.79572,157.9077834,speedway
Us Hwy 17 S.,1120 Us Hwy 17 S.,Elizabeth City,NC,27909,2523388535,36.28624,-76.27278,158.0509702,speedway
S. Hughes Blvd.,300 S. Hughes Blvd.,Elizabeth City,NC,27909-4525,2523352226,36.29931,-76.2415,159.9510598,7-eleven
N Road St.,1129 N Road St.,Elizabeth City,NC,27909,2523331606,36.3198,-76.2195,161.4617326,speedway
West Main Street,523 West Main Street,Forest City,NC,28043,8282481860,35.33953,-81.87704,163.5877289,speedway
Caratoke Hwy,271 Caratoke Hwy,Moyock,NC,27958,2524355243,36.5397,-76.18645,167.2849793,7-eleven
Caratoke Hwy,3948 Caratoke Hwy,Barco,NC,27917-9998,2524532805,36.38674,-75.97736,175.6637249,7-eleven
N Croatan Hwy,6100 N Croatan Hwy,Kitty Hawk,NC,27949,2523056569,36.09564,-75.73286,185.7328644,7-eleven
N Croatan Hwy Rt. 158 & Old Kitty Hawke,3868 N Croatan Hwy Rt. 158 & Old Kitty Hawke,Kitty Hawk,NC,27949-9210,2522614733,36.06595,-75.69401,187.6875955,7-eleven
Us Highway 64,202 Us Highway  64,Manteo,NC,27954,2524751095,35.90356,-75.67305,188.1247027,speedway
Us Hwy 64,610 Us Hwy 64,Manteo,NC,27954-9460,2524735685,35.89668,-75.66814,188.3836702,7-eleven
N Croatan Highway,1822 N Croatan Highway,Kill Devil Hills,NC,27948,2524411266,36.03523,-75.67454,188.5834699,speedway
S Croatan Hwy,1601 S Croatan Hwy,Kill Devil Hills,NC,27948,2524414549,35.99842,-75.65124,189.690217,7-eleven
S Croatan Hwy,3643 S Croatan Hwy,Nags Head,NC,27959,2522551841,35.96503,-75.62902,190.7872636,7-eleven
S Virginia Dare Trl,7315 S Virginia Dare Trl,Nags Head,NC,27959-9168,2524414675,35.90791,-75.59709,192.3934161,7-eleven
Spartanburg Highway,707 Spartanburg Highway,Hendersonville,NC,28792,8286938020,35.3063,-82.45352,196.0264424,speedway
Hendersonville Road,648 Hendersonville Road,Asheville,NC,28803,8282745099,35.54926,-82.53517,198.3526893,speedway
Smoky Park Highway,158 Smoky Park Highway,Asheville,NC,28806,8286707188,35.564,-82.6281,203.4787928,speedway
